"","1026","1028","1030","1032","1034","1036","1038","1040","1042","1044","H1","H10","H11","H12","H2","H3","H4","H5","H6","H7","H8","H9"
"MSTRG.37607.1",131,119,0,0,143,0,0,90,76,68,206,0,0,0,0,0,187,0,0,126,163,0
"MSTRG.56810.1",0,149,0,115,0,388,203,258,112,0,0,0,105,0,0,205,0,152,173,140,0,0
"MSTRG.51263.1",290,146,0,259,0,184,244,207,0,157,0,300,160,0,0,0,0,169,0,0,237,0
"MSTRG.26190.1",0,0,0,134,79,0,0,140,81,193,0,0,0,0,301,58,0,23,250,0,0,0
"MSTRG.18575.1",53,0,0,30,0,42,27,0,0,0,0,0,0,70,44,71,96,46,57,58,37,0
"MSTRG.49575.2",68,10,3,27,38,30,52,39,22,78,87,52,19,76,42,115,40,46,37,72,49,4
"MSTRG.62598.1",11,18,0,16,11,21,11,28,15,18,11,22,28,10,13,29,20,10,32,0,11,0
"MSTRG.51897.1",0,0,0,0,0,155,153,160,0,0,0,147,139,0,205,243,154,148,174,184,0,0
"MSTRG.94644.2",48,0,123,88,44,222,242,0,29,40,222,45,0,89,0,137,0,79,127,161,0,101
"MSTRG.71491.2",0,716,0,0,444,0,0,0,435,0,1102,735,519,2672,1000,1738,673,677,0,542,1467,0
"MSTRG.108706.1",0,0,0,0,0,0,304,939,0,171,400,142,139,177,0,0,0,217,225,138,0,0
"MSTRG.30917.1",182,0,0,95,117,246,161,0,70,85,0,0,135,0,205,366,0,0,0,228,0,0
"MSTRG.15283.1",0,328,0,327,0,261,237,678,366,0,0,0,0,0,0,740,0,475,578,345,0,0
"MSTRG.72560.1",0,1267,0,603,0,1051,931,1065,602,428,0,1045,905,0,0,2032,1227,1243,1249,1325,956,0
"MSTRG.38441.1",37,88,0,34,11,94,73,102,70,26,26,0,0,0,37,72,0,39,26,50,0,0
"MSTRG.248.1",0,0,0,89,0,89,0,97,90,0,146,104,0,0,0,0,0,0,0,0,0,0
"MSTRG.102698.1",0,262,0,142,227,0,237,291,159,0,0,0,0,0,0,456,0,0,0,326,206,0
"MSTRG.1220.1",56,118,0,0,47,0,89,94,43,0,0,0,0,0,0,221,0,129,116,0,0,0
"MSTRG.70661.1",20,33,0,16,31,23,47,38,13,18,31,64,25,59,25,61,34,36,41,34,0,0
"MSTRG.50050.1",149,174,0,0,216,118,170,132,90,211,0,0,0,0,393,301,0,0,127,180,0,0
"MSTRG.102856.1",139,0,0,117,181,0,154,193,0,0,65,0,0,85,64,0,0,0,36,0,0,0
"MSTRG.83414.1",85,0,52,151,0,0,168,0,106,0,91,0,0,190,0,0,0,0,0,143,44,0
"MSTRG.83625.1",43,59,0,58,55,107,93,84,51,0,0,52,50,0,92,120,77,67,39,90,51,0
"MSTRG.74889.1",13,37,0,43,8,25,49,24,30,36,53,0,71,0,40,91,24,61,65,77,98,0
"MSTRG.34972.1",0,115,0,0,19,42,99,0,0,0,0,94,51,31,49,132,3,80,0,88,0,0
"MSTRG.10693.1",0,109,46,0,0,158,0,0,0,46,110,0,0,173,0,0,0,109,0,0,0,126
"MSTRG.14705.1",0,504,0,0,3,20,186,130,0,0,0,0,182,378,0,179,0,22,0,571,0,0
"MSTRG.46587.1",0,104,0,0,179,185,165,206,164,0,0,152,87,0,296,219,0,107,0,132,0,0
"MSTRG.75930.1",0,109,53,0,0,0,0,0,48,0,0,88,0,163,0,151,0,0,95,0,0,104
"MSTRG.83949.2",401,0,0,0,372,0,750,523,0,0,243,0,0,582,0,818,542,0,0,0,390,0
"MSTRG.103393.1",0,158,0,145,152,0,0,0,88,80,206,116,108,320,202,325,0,0,103,163,0,0
"MSTRG.78900.1",0,1067,0,831,0,613,708,1681,870,6,0,0,528,0,0,1493,0,894,1050,789,0,0
"MSTRG.67304.1",114,80,0,85,91,98,121,0,72,70,0,212,0,184,180,0,143,93,0,0,0,0
"MSTRG.20489.1",0,154,0,95,113,156,147,165,0,0,0,191,0,0,247,246,0,166,178,171,0,0
"MSTRG.19217.1",0,939,0,309,0,723,657,523,285,0,0,0,821,0,0,1790,0,1009,688,1127,0,0
"MSTRG.42776.1",105,141,82,134,171,130,94,0,62,77,159,120,0,89,227,144,0,92,70,96,66,121
"MSTRG.58843.1",107,109,0,98,0,119,0,0,63,0,144,102,0,142,0,147,131,113,88,105,0,0
"MSTRG.40635.3",74,68,0,0,0,0,38,0,0,46,115,41,0,0,63,0,55,0,59,38,0,0
"MSTRG.19075.1",109,0,74,0,0,0,0,0,0,0,65,61,0,0,0,0,70,0,0,0,46,80
"MSTRG.33675.1",84,130,0,40,88,0,99,117,58,47,104,128,73,182,105,208,168,187,138,0,0,0
"MSTRG.43866.1",0,76,0,83,23,20,32,89,87,0,5,0,0,0,0,29,0,0,41,33,0,0
"MSTRG.26823.1",0,101,0,0,0,11,69,0,0,0,0,0,64,0,2,45,0,5,11,96,0,0
"MSTRG.89599.1",0,58,0,47,0,0,68,60,0,0,0,0,49,0,0,134,0,63,62,96,0,0
"MSTRG.102236.1",0,210,0,49,0,306,393,0,0,0,0,0,451,0,0,912,51,420,0,695,0,0
"MSTRG.91337.1",122,0,0,0,0,221,106,0,0,0,132,0,86,219,0,178,125,0,0,116,0,0
"MSTRG.29769.1",0,0,103,40,43,44,0,0,0,0,0,0,0,0,101,103,0,0,0,0,76,96
"MSTRG.52095.1",166,0,0,0,0,154,169,168,88,85,193,0,0,191,0,0,0,125,0,150,0,0
"MSTRG.34486.1",187,210,0,0,118,87,173,0,0,97,290,0,90,336,226,0,0,0,0,147,0,0
"MSTRG.39898.1",0,0,288,0,890,4,0,0,1,594,0,0,0,2,684,19,0,0,0,0,108,0
"MSTRG.71937.1",9,38,0,15,11,28,16,23,11,24,6,19,21,15,13,21,24,25,17,19,16,0
"MSTRG.73079.1",9,16,0,0,6,15,29,24,10,13,8,19,17,8,9,31,27,25,24,26,7,0
"MSTRG.111315.1",161,231,0,149,260,402,161,371,197,102,0,138,94,0,186,299,0,214,221,196,132,0
"MSTRG.103672.1",0,36,0,15,14,32,40,25,19,27,0,47,54,29,34,45,27,28,40,39,40,0
"MSTRG.84620.1",85,78,0,52,0,100,94,101,0,0,127,0,0,0,0,0,0,95,81,102,0,0
"MSTRG.105440.1",0,55,0,54,0,62,46,87,36,30,0,48,48,84,64,93,57,49,55,65,39,0
"MSTRG.51013.1",0,457,0,176,0,263,383,627,228,89,0,0,0,0,0,0,0,442,407,396,0,0
"MSTRG.77593.2",0,0,0,0,0,0,391,0,0,124,0,189,149,141,0,112,0,0,83,96,192,0
"MSTRG.86625.1",46,379,0,236,470,412,362,410,304,268,0,588,406,417,552,689,0,418,480,420,0,0
"MSTRG.29667.1",0,95,0,49,44,74,86,70,0,0,0,0,0,0,52,88,0,0,50,60,0,0
"MSTRG.100804.1",41,0,0,32,0,17,27,44,22,41,45,43,56,29,37,33,33,20,31,42,26,0
"MSTRG.88741.1",10,22,249,6,34,11,18,16,6,10,17,0,8,13,91,35,9,9,6,15,248,11
"MSTRG.94642.2",43,0,80,108,53,140,293,0,48,39,114,73,0,100,0,187,0,111,165,171,0,100
"MSTRG.64072.2",0,0,0,0,0,203,248,88,0,0,481,163,131,479,0,351,0,0,155,0,0,0
"MSTRG.56545.1",194,213,0,109,0,0,0,176,106,0,181,252,154,0,438,0,0,0,0,0,0,0
"MSTRG.82449.1",0,182,0,0,102,0,0,281,0,0,0,126,58,135,135,134,0,104,0,101,0,0
"MSTRG.92929.1",89,0,0,82,0,0,122,119,82,0,161,0,96,0,0,200,0,151,122,0,0,0
"MSTRG.71768.1",0,18,0,0,0,40,28,0,0,0,0,0,39,0,2,72,0,39,0,43,0,0
"MSTRG.80339.1",188,207,0,0,0,0,0,193,156,0,0,0,100,0,0,194,140,140,0,0,131,0
"MSTRG.100132.2",40,48,0,24,13,43,16,50,22,8,66,14,59,38,20,49,48,31,53,25,30,0
"MSTRG.35265.1",0,284,0,0,0,191,196,0,0,0,0,167,138,204,0,283,0,173,0,172,0,0
"MSTRG.73214.1",4,5,0,7,7,5,9,8,7,13,17,91,17,19,5,11,23,9,13,9,20,0
